Channel_name,Subscribers,Views,Total_videos,Playlist_id
THE WAJESUS FAMILY,828000,184117107,844,UUHVTpHXp43Giiwag5s6o8xQ
DIANA BAHATI,1150000,231564596,859,UU0UslOx9EYxnk_4SFSHj8hA
JACKIE MATUBIA TV,299000,22377848,213,UUUKnloR_w6diioiPavmH8qw
Thee Pluto Show,974000,253917694,1205,UUMMmy64_0rySSPUu0xohuCQ
