Channel_name,Subscribers,Views,Total_videos,Playlist_id
Flaqo Raz,803000,147000272,259,UUjG66-ryVCszrs7k_Y2pn3Q
Awinja Nyamwalo - Jacky Vike,414000,84279233,272,UUSkQTaT1wFrmPCK5d-Zr2Ng
Henry DeSagu,680000,106937934,633,UU7MGnWilDcg157op0eKI1Tg
Churchill Television,2440000,752768969,5359,UU0YG5UA1s2gLb5tDfUCIWtg
KADUSKO Tv,560000,223661424,639,UUQfjhBlCaSwqIh3T3COfCDg
NJUGUSH TV,669000,109310764,898,UUkV3t4uxBsi8jYj3wjqooeQ
Eddie Butita,352000,33724059,86,UUlkXE1xfSwdx07G_MkFgQGA
Crazy Kennar,666000,169729530,631,UUiXj0BfxM0WQGFr9mxdR0qg
