Title,Published_date,Views,Likes,Comments,Favorites
From a devil's agent for 18years to spreading the gospel : Erica Mukisa Life is Spiritual testimony,2023-04-27,2370733,34047,5094,2370733
Baby David's Story | Lynn Ngugi,2022-03-21,2027583,29606,14092,2027583
"Idah Alisha on being married to an abuser at 21, leaving her marriage and finally breaking free |LNS",2022-05-04,1581625,31772,4648,1581625
