Channel_name,Subscribers,Views,Total_videos,Playlist_id
Tuko / Tuco - Kenya,1100000,237867561,1900,UUl6ICaB9meBcSMQ5Zmr446g
Obinna TV Extra,376000,55180505,1210,UU_9xRXWjRrz_Jy7SWhUnBBw
Dr Ofweneke TV,108000,5734454,278,UUqWSW6zEdoEv_0p5Vw-uLZQ
