Channel_name,Subscribers,Views,Total_videos,Playlist_id
Iko Nini Podcast,150000,37661684,3004,UU5h4-WH0LAV4CWs380yM33A
ManTalk Ke,42600,2473788,263,UUmBQsChFjOTcqv7D6sT8dPw
Boxpod TV,35900,3434093,189,UUgSP5G3RmKJl72aA2lBV_Jw
UpSyd Digital Networks,85500,11775927,670,UUE3KVkSH1GwUtAAMcVcJ3QQ
Sandwich Podcast KE,33700,3281545,155,UUEYqAce8R78wNRAkb8wIuVQ
TMI Podcast KE,137000,14140796,371,UU6fVFxrbf0HDRW3B2mdWFGA
3MenArmy Kenya,229000,31653062,863,UUhQXn6sL9ENIpA74qqPG1HA
Lynn Ngugi,1150000,156323858,507,UUa2gldA2ivhzMwIJRA5683w
