Channel_name,Subscribers,Views,Total_videos,Playlist_id
Henry DeSagu,680000,106935137,633,UU7MGnWilDcg157op0eKI1Tg
KADUSKO Tv,559000,223312495,638,UUQfjhBlCaSwqIh3T3COfCDg
NJUGUSH TV,669000,109297212,898,UUkV3t4uxBsi8jYj3wjqooeQ
Awinja Nyamwalo - Jacky Vike,413000,84155246,271,UUSkQTaT1wFrmPCK5d-Zr2Ng
Crazy Kennar,666000,169716172,631,UUiXj0BfxM0WQGFr9mxdR0qg
Churchill Television,2440000,752662251,5359,UU0YG5UA1s2gLb5tDfUCIWtg
Flaqo Raz,803000,146881771,259,UUjG66-ryVCszrs7k_Y2pn3Q
Eddie Butita,352000,33711478,86,UUlkXE1xfSwdx07G_MkFgQGA
